id,nombre,email,rol,created_at
1,Usuario 1,usuario1@correo.pe,MODERADOR,2026-06-13 00:00:00
2,Usuario 2,usuario2@correo.pe,MODERADOR,2026-01-29 00:00:00
3,Usuario 3,usuario3@correo.pe,MODERADOR,2026-01-07 00:00:00
4,Usuario 4,usuario4@correo.pe,MODERADOR,2026-07-09 00:00:00
5,Usuario 5,usuario5@correo.pe,CIUDADANO,2026-03-12 00:00:00
6,Usuario 6,usuario6@correo.pe,CIUDADANO,2026-03-04 00:00:00
7,Usuario 7,usuario7@correo.pe,CIUDADANO,2026-02-27 00:00:00
8,Usuario 8,usuario8@correo.pe,CIUDADANO,2026-02-05 00:00:00
9,Usuario 9,usuario9@correo.pe,CIUDADANO,2026-07-08 00:00:00
10,Usuario 10,usuario10@correo.pe,CIUDADANO,2026-01-27 00:00:00
11,Usuario 11,usuario11@correo.pe,CIUDADANO,2026-06-23 00:00:00
12,Usuario 12,usuario12@correo.pe,CIUDADANO,2026-07-09 00:00:00
13,Usuario 13,usuario13@correo.pe,CIUDADANO,2026-05-20 00:00:00
14,Usuario 14,usuario14@correo.pe,CIUDADANO,2026-01-23 00:00:00
15,Usuario 15,usuario15@correo.pe,CIUDADANO,2026-06-01 00:00:00
16,Usuario 16,usuario16@correo.pe,CIUDADANO,2026-04-19 00:00:00
17,Usuario 17,usuario17@correo.pe,CIUDADANO,2026-01-09 00:00:00
18,Usuario 18,usuario18@correo.pe,CIUDADANO,2026-01-08 00:00:00
19,Usuario 19,usuario19@correo.pe,CIUDADANO,2026-01-24 00:00:00
20,Usuario 20,usuario20@correo.pe,CIUDADANO,2026-02-25 00:00:00
21,Usuario 21,usuario21@correo.pe,CIUDADANO,2026-03-01 00:00:00
22,Usuario 22,usuario22@correo.pe,CIUDADANO,2026-05-10 00:00:00
23,Usuario 23,usuario23@correo.pe,CIUDADANO,2026-06-04 00:00:00
24,Usuario 24,usuario24@correo.pe,CIUDADANO,2026-01-07 00:00:00
25,Usuario 25,usuario25@correo.pe,CIUDADANO,2026-05-24 00:00:00
26,Usuario 26,usuario26@correo.pe,CIUDADANO,2026-02-20 00:00:00
27,Usuario 27,usuario27@correo.pe,CIUDADANO,2026-07-03 00:00:00
28,Usuario 28,usuario28@correo.pe,CIUDADANO,2026-06-16 00:00:00
29,Usuario 29,usuario29@correo.pe,CIUDADANO,2026-06-29 00:00:00
30,Usuario 30,usuario30@correo.pe,CIUDADANO,2026-05-20 00:00:00
31,Usuario 31,usuario31@correo.pe,CIUDADANO,2026-04-18 00:00:00
32,Usuario 32,usuario32@correo.pe,CIUDADANO,2026-02-26 00:00:00
33,Usuario 33,usuario33@correo.pe,CIUDADANO,2026-04-25 00:00:00
34,Usuario 34,usuario34@correo.pe,CIUDADANO,2026-05-31 00:00:00
35,Usuario 35,usuario35@correo.pe,CIUDADANO,2026-03-13 00:00:00
36,Usuario 36,usuario36@correo.pe,CIUDADANO,2026-01-02 00:00:00
37,Usuario 37,usuario37@correo.pe,CIUDADANO,2026-07-14 00:00:00
38,Usuario 38,usuario38@correo.pe,CIUDADANO,2026-02-10 00:00:00
39,Usuario 39,usuario39@correo.pe,CIUDADANO,2026-06-28 00:00:00
40,Usuario 40,usuario40@correo.pe,CIUDADANO,2026-04-19 00:00:00
